,,Steering_signal,Inner_wheel,Outer_wheel,Mean
0,,0,0,0,0
1,,1,0,0,0
2,,4,0,0,0
3,,10,0,0.01,0.005
4,,14,0.15,0.15,0.15
5,,18,0.31,0.28,0.295
6,,24,0.58,0.55,0.565
7,,30,0.86,0.82,0.84
8,,35,1.11,1.03,1.07
9,,41,1.37,1.23,1.3
10,,48,1.64,1.5,1.57
11,,52,1.92,1.77,1.845
12,,58,2.22,2.06,2.14
13,,63,2.53,2.36,2.445
14,,70,2.85,2.67,2.76
15,,77,3.17,2.97,3.07
16,,83,3.52,3.23,3.375
17,,88,3.87,3.48,3.675
18,,94,4.22,3.86,4.04
19,,100,4.58,4.25,4.415
20,,106,4.96,4.58,4.77
21,,113,5.34,4.91,5.125
22,,119,5.72,5.29,5.505
23,,126,6.1,5.66,5.88
24,,132,6.49,6,6.245
25,,138,6.88,6.35,6.615
26,,147,7.27,6.7,6.985
27,,153,7.66,7.06,7.36
28,,159,8.05,7.42,7.735
29,,164,8.44,7.77,8.105
30,,169,8.83,8.14,8.485
31,,176,9.22,8.51,8.865
32,,183,9.61,8.87,9.24
33,,189,10,9.22,9.61
34,,195,10.39,9.59,9.99
35,,202,10.78,9.95,10.365
36,,208,11.18,10.31,10.745
37,,214,11.58,10.66,11.12
38,,221,11.98,11.02,11.5
39,,229,12.39,11.38,11.885
40,,235,12.79,11.74,12.265
41,,240,13.2,12.11,12.655
42,,245,13.6,12.48,13.04
43,,252,14.01,12.85,13.43
44,,259,14.42,13.22,13.82
45,,265,14.83,13.59,14.21
46,,272,15.25,13.95,14.6
47,,278,15.66,14.32,14.99
48,,284,16.09,14.67,15.38
49,,290,16.51,15.03,15.77
50,,297,16.94,15.39,16.165
51,,305,17.36,15.76,16.56
52,,311,17.8,16.13,16.965
53,,316,18.23,16.49,17.36
54,,321,18.23,16.49,17.36
55,,328,19.11,17.2,18.155
56,,334,19.55,17.2,18.375
57,,340,19.98,17.92,18.95
58,,347,20.43,18.3,19.365
59,,353,20.89,18.67,19.78
60,,359,21.35,19.04,20.195
61,,365,21.81,19.4,20.605
62,,372,22.26,19.76,21.01
63,,380,22.71,20.11,21.41
64,,386,23.17,20.48,21.825
65,,391,23.63,20.84,22.235
66,,396,24.07,21.21,22.64
67,,402,24.52,21.57,23.045
68,,409,24.99,21.93,23.46
69,,416,25.46,22.29,23.875
70,,422,25.95,22.67,24.31
71,,428,26.45,23.05,24.75
72,,432,26.96,23.4,25.18
73,,435,27.48,23.75,25.615
74,,438,27.85,24.03,25.94
75,,440,28.17,24.29,26.23
76,,441,28.41,24.45,26.43
77,,443,28.62,24.58,26.6
78,,444,28.76,24.71,26.735
79,,445,28.87,24.84,26.855
80,,446,28.96,24.92,26.94
81,,447,29.04,25,27.02
82,,447.5,29.09,25.06,27.075
83,,448,29.14,25.1,27.12
84,,448.33,29.17,25.15,27.16
85,,448.66,29.18,25.19,27.185
86,,449,29.2,25.22,27.21
87,,449.2,29.21,25.25,27.23
88,,449.4,29.25,25.26,27.255
89,,449.6,29.28,25.27,27.275
90,,449.8,29.3,25.29,27.295
91,,450,29.33,25.32,27.325
